ID,Nome,Idade,Destino,Classe,Valor_Gasto,Hora_Entrada_Restaurante,Hora_Saída_Restaurante,Objeto_Carregado
360,Dra. Ana Júlia Abreu,64,Londres,1ª Classe,141.55,20,21,Celular
361,João Gabriel Cirino,30,Madri,3ª Classe,339.01,13,15,Jornal
362,Caleb Mendonça,39,Berlim,1ª Classe,113.79,13,14,Chocolate
363,Ryan Camargo,66,Roma,1ª Classe,350.86,21,22,Boné
364,Ravi Lucca Teixeira,33,Madri,2ª Classe,390.0,16,18,Boné
365,Mateus Barros,40,Berlim,2ª Classe,186.23,17,19,Carteira
366,Gabriel da Luz,64,Roma,2ª Classe,458.02,15,17,Boné
367,Carolina Moreira,54,Londres,3ª Classe,81.5,14,16,Jornal
368,Lucas Gabriel Nogueira,30,Berlim,1ª Classe,196.12,13,15,Boné
369,Caleb Martins,61,Berlim,2ª Classe,384.05,17,19,Boné
370,Luiz Miguel Monteiro,64,Berlim,1ª Classe,78.58,18,20,Carteira
371,Bianca Leão,52,Paris,3ª Classe,26.57,11,12,Celular
372,Sr. Kevin da Costa,44,Londres,3ª Classe,123.4,21,22,Carteira
373,Dr. Benício Andrade,50,Roma,2ª Classe,39.62,20,22,Chocolate
374,Heitor Guerra,19,Paris,3ª Classe,280.31,10,11,Boné
375,Rael Campos,35,Madri,2ª Classe,18.4,21,23,Celular
376,Davi Lucca Silveira,29,Paris,1ª Classe,266.95,13,14,Chocolate
377,Kamilly Lima,34,Berlim,2ª Classe,399.52,11,13,Faca
378,Arthur Miguel Almeida,47,Madri,1ª Classe,495.21,13,15,Chocolate
379,Luiz Fernando Pimenta,23,Paris,1ª Classe,208.59,16,18,Carteira
380,Heloisa Pastor,18,Londres,1ª Classe,254.93,16,18,Boné
381,Miguel Macedo,24,Madri,1ª Classe,122.59,21,23,Jornal
382,João Pedro Aparecida,22,Berlim,3ª Classe,286.12,10,11,Celular
383,Guilherme Araújo,38,Paris,1ª Classe,297.65,22,24,Celular
384,Carolina Freitas,37,Londres,3ª Classe,127.83,16,18,Boné
385,Alexandre Casa Grande,65,Londres,3ª Classe,364.84,18,20,Carteira
386,Bernardo Sales,45,Londres,1ª Classe,176.89,22,24,Bengala
387,Marina Gonçalves,38,Paris,3ª Classe,143.93,17,19,Jornal
388,Eloah da Paz,53,Roma,2ª Classe,101.01,19,21,Carteira
389,Benicio da Cruz,57,Berlim,1ª Classe,359.42,11,13,Carteira
390,Vitor Hugo Machado,63,Londres,3ª Classe,200.91,15,16,Carteira
391,Natália Nascimento,37,Roma,2ª Classe,383.06,11,12,Carteira
392,José Miguel Ribeiro,45,Roma,3ª Classe,281.82,16,17,Carteira
393,Ana Cecília Leão,40,Madri,1ª Classe,302.49,22,24,Celular
394,Benício Nogueira,18,Berlim,2ª Classe,200.02,11,12,Chocolate
395,Alexia Sampaio,28,Roma,1ª Classe,78.03,14,16,Boné
396,Oliver Pastor,22,Londres,2ª Classe,145.22,14,16,Celular
397,Pedro Sampaio,41,Berlim,1ª Classe,363.24,17,18,Boné
398,Ayla Carvalho,26,Berlim,1ª Classe,474.92,15,17,Celular
399,Nicolas Machado,39,Roma,2ª Classe,221.0,20,21,Jornal
400,Vitória Câmara,56,Londres,2ª Classe,163.95,16,18,Jornal
401,Ísis das Neves,62,Roma,3ª Classe,393.17,15,17,Jornal
402,Carlos Eduardo Oliveira,68,Roma,2ª Classe,65.81,19,20,Chocolate
403,Eduardo Souza,52,Londres,3ª Classe,386.13,10,12,Celular
404,Miguel Macedo,31,Roma,2ª Classe,417.33,11,13,Chocolate
405,Bella Andrade,26,Berlim,1ª Classe,133.81,12,14,Celular
406,José Barros,22,Roma,3ª Classe,244.83,16,18,Boné
407,Kevin Costa,68,Berlim,3ª Classe,448.8,18,19,Carteira
408,Maysa Andrade,33,Berlim,1ª Classe,327.03,10,12,Bengala
409,Caio Sales,39,Roma,1ª Classe,15.17,14,15,Boné
410,Srta. Milena Castro,51,Madri,3ª Classe,346.96,13,15,Jornal
411,Srta. Hellena Silva,47,Madri,3ª Classe,255.23,15,16,Boné
412,Dr. Francisco Lima,36,Roma,1ª Classe,66.87,21,22,Jornal
413,Mirella Nunes,39,Roma,1ª Classe,265.35,15,17,Carteira
414,Nicolas Moraes,64,Roma,2ª Classe,42.92,10,11,Carteira
415,Julia Barros,39,Paris,3ª Classe,402.02,21,22,Boné
416,Sr. Valentim da Mata,53,Londres,2ª Classe,284.33,17,18,Celular
417,Olívia Gonçalves,58,Londres,1ª Classe,323.83,16,18,Carteira
418,Sara Albuquerque,57,Londres,2ª Classe,300.18,16,17,Chocolate
419,Josué Jesus,31,Berlim,3ª Classe,406.28,11,12,Celular
420,Thiago Farias,52,Londres,2ª Classe,169.73,17,18,Jornal
421,Maitê Campos,49,Madri,3ª Classe,163.57,16,18,Chocolate
422,Vitor Gabriel Ribeiro,40,Berlim,2ª Classe,312.51,20,22,Celular
423,Laura da Paz,55,Paris,3ª Classe,75.63,11,12,Jornal
424,Otto Novaes,29,Berlim,3ª Classe,79.27,16,18,Chocolate
425,Maria Cecília da Mota,54,Roma,2ª Classe,101.02,20,21,Boné
426,Luana das Neves,49,Berlim,1ª Classe,101.68,17,18,Celular
427,Yago Nogueira,18,Roma,1ª Classe,105.61,16,18,Boné
428,Paulo Martins,49,Roma,3ª Classe,421.55,17,18,Carteira
429,Dr. Bernardo Sampaio,19,Londres,2ª Classe,26.02,13,15,Carteira
430,Diogo da Rosa,47,Madri,3ª Classe,388.55,17,18,Chocolate
431,Otávio Alves,35,Madri,2ª Classe,275.6,22,23,Celular
432,Lucas Cardoso,46,Madri,1ª Classe,494.99,11,12,Jornal
433,Igor Araújo,20,Roma,2ª Classe,180.8,11,13,Celular
434,Laís Duarte,25,Londres,1ª Classe,407.24,19,21,Celular
435,Dr. Bruno Rezende,57,Roma,1ª Classe,311.91,22,23,Celular
436,Dra. Maria Laura Pacheco,69,Paris,3ª Classe,181.9,14,15,Jornal
437,Sr. Yan Leão,63,Berlim,2ª Classe,290.64,18,19,Carteira
438,Sra. Mirella da Cunha,66,Roma,1ª Classe,496.32,20,21,Chocolate
439,José Miguel da Mata,26,Londres,1ª Classe,358.58,13,15,Boné
440,Dr. Oliver da Costa,54,Berlim,3ª Classe,212.97,17,18,Chocolate
441,Dr. Lucas Borges,67,Paris,2ª Classe,262.65,14,16,Boné
442,Vitor Gabriel Ribeiro,49,Berlim,3ª Classe,11.21,22,23,Chocolate
443,Ana Liz Peixoto,47,Berlim,1ª Classe,399.88,16,17,Bengala
444,Dra. Melissa Pinto,70,Londres,2ª Classe,141.58,14,16,Boné
445,Ana Clara Macedo,26,Madri,2ª Classe,396.27,20,21,Carteira
446,Levi Farias,58,Roma,1ª Classe,70.88,12,14,Boné
447,Ayla Albuquerque,45,Londres,3ª Classe,455.61,20,22,Carteira
448,Amanda Cavalcante,35,Paris,3ª Classe,186.61,11,13,Chocolate
449,Clara Albuquerque,59,Londres,1ª Classe,204.21,14,15,Boné
450,Dr. Pedro Miguel Ferreira,23,Paris,1ª Classe,114.58,11,12,Chocolate
451,Srta. Cecília Sá,51,Roma,1ª Classe,13.95,15,16,Bastão de Caminhada
452,Liz da Mota,45,Londres,2ª Classe,44.71,16,17,Chocolate
453,Marina Garcia,24,Paris,2ª Classe,190.11,14,15,Boné
454,Bruna Rios,70,Londres,3ª Classe,496.54,12,13,Boné
455,Esther Moura,18,Madri,3ª Classe,90.42,15,16,Chocolate
456,Vitória Cavalcante,27,Roma,3ª Classe,346.42,13,14,Celular
457,Letícia Rocha,26,Paris,3ª Classe,367.7,15,17,Jornal
458,Ana Liz Campos,26,Londres,2ª Classe,325.86,13,15,Celular
459,João Gabriel Lopes,62,Paris,3ª Classe,439.16,13,14,Chocolate
460,Davi Lucca Cavalcanti,36,Paris,1ª Classe,252.49,11,12,Boné
461,Catarina Guerra,56,Paris,3ª Classe,445.48,10,12,Celular
462,Matheus Campos,26,Roma,3ª Classe,216.22,18,19,Celular
463,Juliana Siqueira,67,Paris,1ª Classe,297.81,10,12,Jornal
464,Ísis Aragão,21,Roma,3ª Classe,150.38,21,23,Boné
465,Laís Oliveira,43,Paris,3ª Classe,272.92,19,20,Jornal
466,Dra. Mariane Alves,37,Paris,3ª Classe,461.25,22,23,Boné
467,Marcela Cunha,43,Madri,3ª Classe,383.98,20,21,Jornal
468,Srta. Julia Fernandes,45,Londres,1ª Classe,129.8,16,17,Boné
469,Thomas da Mata,56,Paris,2ª Classe,336.38,20,21,Carteira
470,Melina Silva,63,Londres,3ª Classe,15.56,17,19,Boné
471,Gael Camargo,68,Berlim,1ª Classe,192.22,21,23,Chocolate
472,Yago da Cunha,25,Paris,2ª Classe,405.48,14,15,Jornal
473,Dr. Bento Farias,54,Paris,2ª Classe,233.05,15,16,Boné
474,Ester Almeida,54,Londres,2ª Classe,87.08,22,23,Celular
475,Maitê Sampaio,61,Paris,1ª Classe,372.98,10,11,Celular
476,Otávio Vieira,18,Londres,1ª Classe,241.16,16,17,Carteira
477,Yan Sousa,20,Madri,3ª Classe,372.93,16,17,Jornal
478,Ana Luiza Leão,44,Berlim,2ª Classe,414.74,19,21,Carteira
479,Marcela Ribeiro,61,Paris,1ª Classe,119.36,18,19,Faca
480,Marcela Camargo,22,Roma,2ª Classe,389.03,14,16,Carteira
481,João Felipe Rios,47,Paris,2ª Classe,108.33,19,21,Chocolate
482,Maria Vitória Caldeira,33,Roma,2ª Classe,299.93,17,18,Chocolate
483,Maria Silva,52,Londres,1ª Classe,13.13,16,17,Jornal
484,Davi Viana,40,Paris,2ª Classe,10.72,20,22,Celular
485,João Pedro Sousa,64,Berlim,1ª Classe,110.55,13,15,Boné
486,Gabriel Oliveira,21,Londres,3ª Classe,147.11,10,11,Celular
487,Pietra Farias,51,Roma,3ª Classe,448.83,17,18,Chocolate
488,Benjamin Oliveira,50,Londres,3ª Classe,411.78,11,12,Boné
489,Gabrielly Pinto,26,Londres,2ª Classe,137.89,15,17,Chocolate
490,André Moraes,65,Berlim,2ª Classe,231.85,13,14,Faca
491,Pedro Miguel Silveira,26,Madri,1ª Classe,86.15,12,14,Boné
492,Mariane Porto,44,Paris,3ª Classe,185.56,22,23,Boné
493,Pietro Moura,47,Berlim,1ª Classe,54.31,22,24,Celular
494,Heloísa Cardoso,62,Madri,1ª Classe,115.36,15,16,Carteira
495,Jade Pereira,33,Berlim,2ª Classe,261.6,20,22,Jornal
496,Ana Liz Correia,29,Paris,2ª Classe,428.75,18,19,Carteira
497,Bento Ramos,24,Londres,1ª Classe,15.86,22,23,Carteira
498,Yasmin da Luz,70,Roma,2ª Classe,346.28,20,21,Chocolate
499,Julia Fernandes,34,Paris,1ª Classe,498.61,13,15,Celular
500,Ravi Lucca da Rosa,23,Berlim,1ª Classe,30.92,17,18,Carteira
501,José Carvalho,54,Roma,3ª Classe,203.55,10,12,Chocolate
502,Sr. Dante Montenegro,29,Berlim,1ª Classe,455.07,14,16,Boné
503,Maya Almeida,27,Paris,3ª Classe,313.4,13,15,Boné
504,Mirella Ramos,53,Roma,1ª Classe,52.98,16,17,Boné
505,Allana Martins,59,Madri,1ª Classe,319.07,22,23,Bastão de Caminhada
506,Cecilia Porto,68,Berlim,2ª Classe,276.81,17,19,Celular
507,Fernando Cunha,50,Berlim,2ª Classe,142.51,10,12,Chocolate
508,Ana Lívia Nascimento,19,Berlim,1ª Classe,406.24,17,19,Celular
509,Sr. Kaique Farias,32,Londres,1ª Classe,131.45,13,15,Boné
510,Benício Souza,68,Paris,1ª Classe,292.09,22,24,Jornal
511,Antonella Gomes,29,Londres,1ª Classe,300.33,22,24,Celular
512,Marcos Vinicius Mendonça,19,Berlim,3ª Classe,286.17,19,20,Celular
513,Sr. Dom Guerra,69,Roma,3ª Classe,161.44,17,18,Carteira
514,Benjamin Vargas,32,Madri,1ª Classe,19.76,17,18,Jornal
515,Breno Macedo,57,Londres,1ª Classe,176.97,12,14,Carteira
516,Sra. Milena Barbosa,27,Madri,3ª Classe,459.44,22,23,Celular
517,Maitê Rios,41,Paris,2ª Classe,355.22,20,22,Chocolate
518,Vitória Jesus,39,Berlim,2ª Classe,76.86,12,14,Celular
519,Marcela Cavalcanti,49,Berlim,1ª Classe,356.52,18,20,Jornal
520,Ana Clara Cassiano,55,Londres,2ª Classe,160.34,21,23,Carteira
521,Sr. Mathias da Conceição,64,Paris,3ª Classe,474.86,16,17,Carteira
522,Sr. Noah Cavalcante,38,Madri,1ª Classe,323.43,11,13,Carteira
523,Stephany Cardoso,65,Paris,1ª Classe,179.94,15,16,Chocolate
524,Ana Vitória Rocha,23,Berlim,2ª Classe,15.58,13,14,Chocolate
525,Cauã Novaes,40,Berlim,1ª Classe,363.0,10,12,Boné
526,Helena Fogaça,44,Londres,2ª Classe,251.61,16,18,Boné
527,Sr. Cauã Duarte,24,Roma,3ª Classe,328.98,20,21,Carteira
528,Emanuella Costela,22,Paris,2ª Classe,19.84,14,15,Carteira
529,Gael Henrique Silva,28,Roma,1ª Classe,368.67,18,19,Jornal
530,Elisa Sá,57,Roma,3ª Classe,25.19,20,21,Chocolate
531,Cauê Nogueira,45,Londres,1ª Classe,59.62,13,14,Boné
532,Anthony da Paz,53,Madri,2ª Classe,333.69,14,15,Carteira
533,Maria Júlia Moraes,43,Madri,3ª Classe,421.53,12,13,Jornal
534,Dra. Zoe Fonseca,45,Paris,2ª Classe,413.71,20,22,Jornal
535,Marina Borges,19,Londres,1ª Classe,322.71,11,13,Celular
536,Gael Costela,37,Roma,2ª Classe,249.66,20,22,Carteira
537,Sr. Yan Cassiano,52,Roma,1ª Classe,191.8,16,18,Carteira
538,João Miguel Aragão,20,Berlim,2ª Classe,237.88,13,15,Boné
539,Daniel Gonçalves,27,Paris,1ª Classe,337.39,22,24,Bengala
540,Théo Teixeira,55,Londres,3ª Classe,39.88,16,18,Bengala
541,Sr. André Pastor,61,Roma,3ª Classe,442.01,17,19,Carteira
542,José Vargas,63,Paris,3ª Classe,289.9,18,19,Carteira
543,Dr. Otávio Ribeiro,66,Roma,1ª Classe,475.04,12,13,Celular
544,Sarah Pereira,26,Paris,2ª Classe,48.4,20,22,Jornal
545,Carlos Eduardo Silva,70,Londres,3ª Classe,136.36,21,22,Carteira
546,Helena Leão,53,Roma,3ª Classe,169.8,14,16,Celular
547,Ana Vitória Cirino,18,Madri,3ª Classe,266.06,16,17,Boné
548,Joana Rezende,27,Madri,3ª Classe,295.51,11,12,Boné
549,Fernanda Gonçalves,24,Berlim,3ª Classe,441.27,16,18,Boné
550,Rafaela Barros,49,Madri,3ª Classe,241.79,12,14,Boné
551,Eloah Castro,57,Madri,3ª Classe,349.89,10,12,Celular
552,Luiz Fernando Farias,39,Londres,1ª Classe,375.42,14,16,Carteira
553,Sophie Freitas,70,Berlim,2ª Classe,147.37,17,18,Bengala
554,Enrico Costa,32,Londres,2ª Classe,487.37,17,19,Jornal
555,Ana Sophia Azevedo,44,Madri,3ª Classe,53.75,17,18,Celular
556,Ísis Vasconcelos,44,Roma,3ª Classe,434.92,10,11,Carteira
557,Sra. Raquel Moura,63,Madri,2ª Classe,76.47,18,19,Carteira
558,Fernanda da Costa,30,Paris,1ª Classe,26.2,10,12,Chocolate
559,Gabriela Cunha,35,Berlim,2ª Classe,257.51,20,21,Chocolate
560,Gabriela das Neves,33,Berlim,2ª Classe,301.08,12,14,Chocolate
561,Vinícius Campos,40,Berlim,1ª Classe,420.45,14,15,Jornal
562,Srta. Liz Martins,42,Paris,1ª Classe,428.37,22,23,Celular
563,Maria Luísa Pastor,59,Londres,3ª Classe,111.3,20,22,Boné
564,Fernanda Silva,67,Paris,2ª Classe,456.64,20,21,Chocolate
565,Anthony Fogaça,18,Londres,2ª Classe,308.09,14,16,Boné
566,Sra. Maria Sales,42,Berlim,2ª Classe,133.48,17,19,Chocolate
567,Dr. Diego Machado,70,Madri,2ª Classe,296.4,10,12,Boné
568,Miguel Machado,56,Madri,2ª Classe,156.25,11,13,Carteira
569,Gael Henrique Fogaça,35,Berlim,2ª Classe,137.96,21,23,Carteira
570,Arthur Miguel Machado,51,Londres,1ª Classe,404.66,22,24,Chocolate
571,Sr. Heitor da Luz,61,Londres,3ª Classe,22.47,17,19,Jornal
572,Vitor da Luz,44,Roma,2ª Classe,371.0,19,20,Jornal
573,Noah Nogueira,63,Londres,3ª Classe,271.97,22,24,Celular
574,Srta. Olivia Sousa,60,Berlim,3ª Classe,157.1,12,13,Jornal
575,Melissa Sá,48,Londres,3ª Classe,136.74,22,23,Faca
576,Dom Vieira,39,Paris,1ª Classe,184.09,21,23,Boné
577,Gabriel Freitas,39,Berlim,2ª Classe,296.93,17,18,Boné
578,Alexia Dias,58,Madri,3ª Classe,472.71,11,13,Celular
579,Stephany Nunes,50,Paris,3ª Classe,197.02,14,16,Carteira
580,Enzo Gabriel Cunha,27,Londres,1ª Classe,177.91,19,21,Carteira
581,Raquel Teixeira,63,Londres,1ª Classe,248.91,20,21,Jornal
582,Vitor Gabriel Siqueira,21,Paris,2ª Classe,144.03,22,23,Chocolate
583,Valentim da Rosa,28,Roma,1ª Classe,73.41,16,18,Boné
584,Sr. Diego Camargo,48,Roma,1ª Classe,28.49,13,15,Faca
585,Maya Nogueira,38,Madri,1ª Classe,18.78,10,11,Jornal
586,Breno Barbosa,40,Berlim,1ª Classe,60.33,18,20,Carteira
587,Benício Garcia,70,Paris,2ª Classe,474.75,17,19,Boné
588,Otávio Porto,61,Londres,2ª Classe,498.11,17,19,Chocolate
589,Gael da Costa,28,Roma,1ª Classe,121.92,21,22,Jornal
590,Dra. Liz Sampaio,19,Madri,3ª Classe,92.8,15,16,Jornal
591,Dra. Maria Alice Câmara,58,Berlim,3ª Classe,315.34,19,20,Chocolate
592,Allana Lima,59,Paris,1ª Classe,347.98,16,18,Boné
593,Leandro Jesus,53,Berlim,2ª Classe,353.92,13,14,Jornal
594,Enrico Farias,60,Paris,3ª Classe,264.95,19,20,Boné
595,Bernardo Rocha,24,Madri,3ª Classe,312.67,14,15,Celular
596,Ester Araújo,49,Londres,3ª Classe,107.88,14,15,Jornal
597,Vitor Hugo Costa,44,Berlim,1ª Classe,29.31,17,18,Chocolate
598,Nicole Rezende,48,Berlim,1ª Classe,11.34,20,21,Celular
599,Pietra Porto,54,Roma,1ª Classe,475.23,22,23,Chocolate
600,Pedro Miguel Sá,24,Berlim,3ª Classe,123.27,14,16,Boné
601,Dra. Olívia Siqueira,24,Londres,1ª Classe,427.6,15,17,Boné
602,Luísa Ribeiro,25,Paris,1ª Classe,14.74,12,13,Jornal
603,Dra. Isabelly Vasconcelos,46,Madri,2ª Classe,440.45,11,13,Celular
604,Maitê da Cunha,29,Paris,2ª Classe,206.12,17,19,Celular
605,Ana Sophia Rios,62,Roma,2ª Classe,327.93,22,23,Carteira
606,Davi Lucas Freitas,62,Paris,1ª Classe,60.82,19,21,Celular
607,Srta. Ana Vitória Rezende,61,Roma,1ª Classe,309.55,22,24,Chocolate
608,Lívia Siqueira,61,Londres,2ª Classe,461.0,11,13,Boné
609,Theo Viana,22,Berlim,3ª Classe,163.98,21,22,Bengala
610,Rael Aparecida,60,Berlim,3ª Classe,266.32,21,22,Boné
611,Liam Ramos,64,Londres,2ª Classe,179.42,20,22,Carteira
612,Sra. Agatha Jesus,70,Madri,3ª Classe,36.74,20,21,Boné
613,Evelyn Mendonça,48,Roma,1ª Classe,46.68,17,19,Jornal
614,Pedro Henrique Garcia,35,Paris,3ª Classe,119.13,20,22,Boné
615,Ian Sales,33,Paris,2ª Classe,227.65,19,21,Carteira
616,Felipe Ribeiro,49,Roma,2ª Classe,68.17,17,18,Carteira
617,Lorenzo Cunha,44,Paris,3ª Classe,279.06,11,13,Celular
618,Maria Júlia Rocha,53,Londres,3ª Classe,339.02,15,17,Celular
619,Josué Nogueira,70,Londres,2ª Classe,172.67,22,24,Chocolate
620,Calebe Aparecida,41,Roma,1ª Classe,57.74,20,21,Carteira
621,Valentina Souza,40,Berlim,3ª Classe,265.77,21,22,Carteira
622,Lavínia Dias,28,Roma,1ª Classe,412.7,21,23,Carteira
623,Eduardo Pastor,57,Londres,1ª Classe,69.17,16,17,Boné
624,Sra. Amanda Fogaça,68,Londres,3ª Classe,175.59,22,24,Carteira
625,Joaquim Dias,58,Madri,1ª Classe,388.35,17,19,Chocolate
626,Sr. Joaquim Borges,50,Londres,2ª Classe,12.13,21,22,Boné
627,Gael Henrique Aparecida,45,Madri,2ª Classe,462.94,22,23,Chocolate
628,Isis Sampaio,29,Londres,1ª Classe,199.83,19,21,Boné
629,Gustavo Henrique Lopes,42,Roma,3ª Classe,458.8,22,23,Jornal
630,Aylla Sá,39,Berlim,2ª Classe,404.35,12,14,Chocolate
631,Zoe da Conceição,65,Madri,2ª Classe,423.11,18,20,Chocolate
632,Dra. Clarice Gonçalves,53,Londres,1ª Classe,112.76,21,23,Chocolate
633,Lívia da Mota,61,Londres,3ª Classe,328.54,12,14,Chocolate
634,Marcelo Rezende,66,Berlim,3ª Classe,245.38,19,21,Chocolate
635,Pedro Miguel Aparecida,52,Berlim,2ª Classe,406.07,18,19,Carteira
636,Alana Andrade,27,Paris,3ª Classe,37.74,14,15,Bastão de Caminhada
637,Benjamin da Mota,61,Berlim,1ª Classe,421.3,21,23,Jornal
638,Henry Almeida,52,Paris,2ª Classe,408.87,11,12,Chocolate
639,Antônio Sales,53,Roma,1ª Classe,260.35,22,24,Chocolate
640,Maria Liz Souza,21,Roma,2ª Classe,214.12,22,24,Bengala
641,Sr. Lucca das Neves,21,Paris,3ª Classe,133.16,19,21,Celular
642,Olivia Pereira,58,Berlim,3ª Classe,277.84,19,20,Celular
643,Dra. Julia Cirino,30,Berlim,2ª Classe,96.94,20,21,Carteira
644,Sophia Moraes,29,Madri,1ª Classe,194.83,16,18,Boné
645,Dra. Manuella Aparecida,26,Londres,3ª Classe,424.55,10,12,Boné
646,Camila Almeida,27,Paris,1ª Classe,465.03,19,20,Celular
647,Sara Cavalcante,58,Madri,3ª Classe,157.57,22,24,Carteira
648,Ester Pinto,63,Berlim,3ª Classe,117.78,12,13,Celular
649,Nicolas Sousa,28,Roma,3ª Classe,273.15,11,13,Jornal
650,Ayla Lopes,31,Berlim,2ª Classe,186.79,13,15,Bastão de Caminhada
651,Fernanda Ramos,70,Paris,1ª Classe,337.78,17,18,Celular
652,Enzo Gabriel Dias,57,Madri,1ª Classe,479.86,20,22,Boné
653,Fernanda da Mota,68,Paris,2ª Classe,135.73,21,23,Carteira
654,Calebe Teixeira,51,Berlim,3ª Classe,403.38,17,19,Carteira
655,Bárbara Costela,59,Londres,2ª Classe,261.81,11,12,Bengala
656,Sr. Thales Caldeira,67,Madri,3ª Classe,13.59,11,12,Chocolate
657,Yan Jesus,67,Londres,3ª Classe,217.86,11,12,Boné
658,Marcela Barbosa,62,Roma,3ª Classe,410.21,11,12,Carteira
659,Yan Ramos,63,Berlim,1ª Classe,52.89,10,11,Celular
660,Pietra das Neves,53,Paris,3ª Classe,412.59,14,16,Boné
661,Danilo Almeida,58,Roma,2ª Classe,165.04,16,17,Boné
662,Bruno Fonseca,59,Madri,1ª Classe,380.42,19,20,Chocolate
663,Vitor Hugo Cunha,22,Berlim,3ª Classe,62.01,22,24,Chocolate
664,Augusto Rocha,36,Roma,2ª Classe,203.61,20,21,Boné
665,Dr. Francisco Nogueira,52,Londres,1ª Classe,375.91,22,24,Faca
666,Valentim Casa Grande,27,Berlim,3ª Classe,444.62,22,24,Faca
667,Luan Azevedo,18,Madri,3ª Classe,79.27,10,11,Chocolate
668,Carolina Pereira,43,Madri,3ª Classe,474.02,14,15,Chocolate
669,João Guilherme Albuquerque,64,Berlim,1ª Classe,212.2,20,21,Carteira
670,Bianca Cirino,32,Madri,2ª Classe,105.22,12,13,Celular
671,Olívia Sá,53,Roma,3ª Classe,279.34,14,15,Jornal
672,Bernardo das Neves,30,Madri,2ª Classe,476.25,15,16,Chocolate
673,Heloisa Silveira,33,Paris,2ª Classe,313.56,13,15,Boné
674,Gabriela Nascimento,39,Madri,3ª Classe,159.78,19,20,Boné
675,Maria Sophia Vargas,41,Berlim,2ª Classe,92.63,15,16,Celular
676,Bryan Lopes,63,Roma,2ª Classe,421.65,12,14,Celular
677,Melissa Barbosa,47,Roma,2ª Classe,389.64,17,18,Carteira
678,Matteo Nascimento,56,Paris,2ª Classe,430.77,12,13,Jornal
679,Vitor Azevedo,58,Paris,3ª Classe,46.95,10,11,Celular
680,Henry Duarte,55,Roma,3ª Classe,114.25,10,12,Boné
681,Vinicius Cirino,52,Roma,3ª Classe,389.85,15,17,Jornal
682,Srta. Maria Alice da Cunha,67,Madri,3ª Classe,430.01,12,14,Boné
683,Ana Júlia Monteiro,23,Roma,2ª Classe,256.06,20,21,Celular
684,Sr. Guilherme Fernandes,69,Madri,3ª Classe,91.26,18,19,Boné
685,Dr. Leandro Nogueira,29,Madri,3ª Classe,333.11,12,14,Celular
686,Dr. Emanuel Araújo,20,Londres,2ª Classe,123.56,14,16,Jornal
687,Kevin da Mata,60,Londres,3ª Classe,454.79,15,17,Boné
688,João Guilherme Alves,47,Paris,1ª Classe,490.49,15,16,Chocolate
689,Asafe Moreira,51,Berlim,3ª Classe,139.02,18,19,Jornal
690,Manuela Duarte,42,Berlim,3ª Classe,330.13,11,13,Jornal
691,Gael Costa,32,Madri,2ª Classe,182.92,15,17,Celular
692,Cecilia Rodrigues,56,Paris,3ª Classe,442.2,17,18,Jornal
693,Melina da Cunha,50,Berlim,1ª Classe,83.62,12,14,Chocolate
694,Gustavo Henrique Lima,70,Paris,3ª Classe,122.87,22,24,Chocolate
695,Sra. Maria Cecília Gomes,48,Roma,2ª Classe,113.24,12,14,Carteira
696,Dra. Marina Viana,20,Londres,3ª Classe,300.25,12,13,Celular
697,Gabriela Sá,27,Paris,1ª Classe,136.55,12,14,Chocolate
698,Ravy Vieira,54,Paris,3ª Classe,366.71,14,15,Jornal
699,Dra. Maria Sophia da Mata,56,Roma,2ª Classe,93.58,16,17,Celular
700,Maria Alice Almeida,70,Londres,3ª Classe,333.23,14,15,Chocolate
701,Lorena Santos,39,Roma,3ª Classe,299.39,13,15,Boné
702,Thales Pastor,24,Paris,1ª Classe,266.13,18,20,Celular
703,Davi Lucca Casa Grande,56,Paris,1ª Classe,243.18,19,20,Celular
704,Ana Carolina da Rocha,52,Madri,1ª Classe,55.66,20,21,Celular
705,Antonella Gomes,52,Paris,3ª Classe,328.12,18,20,Jornal
706,Leandro da Cunha,20,Madri,2ª Classe,122.45,22,24,Celular
707,Ana Lívia Moura,42,Berlim,3ª Classe,404.26,22,23,Boné
708,Alice Dias,34,Roma,1ª Classe,455.94,11,13,Chocolate
709,Helena da Rocha,52,Roma,2ª Classe,102.62,21,22,Chocolate
710,Alícia Pereira,25,Madri,1ª Classe,193.76,13,15,Boné
711,Henrique Ferreira,24,Londres,2ª Classe,329.27,14,16,Celular
712,Levi Rocha,45,Madri,2ª Classe,309.82,20,22,Celular
713,Rebeca Macedo,44,Madri,3ª Classe,246.41,15,17,Jornal
714,Isabela Santos,37,Madri,2ª Classe,389.36,16,17,Celular
715,Isabel Novais,60,Paris,3ª Classe,122.59,22,23,Carteira
716,Matteo Sampaio,50,Roma,2ª Classe,402.42,19,20,Carteira
717,Maria Liz Freitas,58,Paris,1ª Classe,413.4,17,19,Carteira
718,Letícia da Rosa,34,Londres,2ª Classe,49.22,10,12,Celular
719,Thales Sales,43,Madri,3ª Classe,265.29,21,22,Faca
720,Agatha Melo,70,Londres,3ª Classe,252.24,10,11,Celular
721,Emanuella Cavalcante,69,Madri,2ª Classe,105.43,22,23,Chocolate
722,Luiz Miguel Melo,61,Paris,2ª Classe,127.24,10,11,Carteira
